Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230420,506197,15561,11512,76.59,76.63,8.82,B 
230420,506222,2953,1908,797.45,797.85,15.22,B 
230420,506235,7543,4631,61.19,61.98,2.83,B 
230420,506248,9927,6297,84.74,87.66,5.34,X 
230420,506260,20678,14497,89.93,90.11,13.04,X 
230420,506261,3395,2848,61.55,63.05,1.75,B 
230420,506285,252,191,4078.25,4104.35,7.79,A 
230420,506390,3299,2290,339.65,341.85,7.78,B 
230420,506395,5028,1870,931.0,945.4,17.41,A 
230420,506401,8187,4582,1836.85,1848.2,84.16,A 
230420,506405,1009,784,257.15,264.15,2.02,B 
230420,506414,3608,3608,148.6,149.2,5.36,XT
230420,506480,3977,3314,331.1,326.2,10.97,B 
230420,506520,6591,5289,5.86,5.68,0.31,X 
230420,506522,454,451,1894.35,1902.3,8.54,X 
230420,506525,881,645,121.45,121.95,0.78,B 
230420,506528,679,470,1047.35,1067.0,4.92,X 
230420,506530,2,2,675.0,672.75,0.01,X 
230420,506532,15898,10799,835.4,879.35,90.21,X 
230420,506579,552,492,727.75,709.85,3.58,B 
230420,506590,124610,100953,118.15,119.4,119.28,A 
230420,506597,8530,8530,269.4,268.05,22.98,XT
230420,506605,9,5,907.1,915.5,0.05,X 
230420,506618,3611,3451,813.45,810.65,28.07,B 
230420,506640,93,93,61.4,61.0,0.06,XT
230420,506642,25733,17633,121.9,122.1,21.49,B 
230420,506655,3370,1691,412.3,415.65,6.97,A 
230420,506685,17636,14056,336.3,329.8,47.27,B 
230420,506687,2532,1727,1763.95,1789.5,30.46,X 
230420,506690,15168,10077,379.45,375.7,38.24,B 
230420,506734,341,321,114.15,114.0,0.37,X 
230420,506767,4187,2384,2402.5,2444.1,57.28,A 
230420,506808,4247,3528,57.81,58.04,2.04,X 
230420,506820,1257,691,3139.5,3203.0,21.69,A 
230420,506852,551395,30785,76.13,76.18,23.44,A 
230420,506854,15142,10073,1500.6,1533.95,151.16,X 
230420,506858,1452,1452,32.96,31.5,0.48,XT
230420,506879,6175,4422,743.0,727.85,32.86,X 
230420,506906,10326,10326,3.12,3.17,0.32,XT
230420,506910,732,731,57.35,55.37,0.42,X 
230420,506919,1803,1240,108.18,108.28,1.34,X 
230420,506935,51,51,63.18,66.5,0.03,XT
230420,506943,1240,349,2107.45,2126.3,7.36,A 
230420,506979,55,55,41.16,43.32,0.02,XT
230420,506981,1106,772,131.35,130.85,1.01,X 
230420,507155,2678,2678,96.23,98.72,2.58,XT
230420,507180,512,494,72.21,73.03,0.36,X 
230420,507205,36088,11562,114.5,113.65,13.24,B 
230420,507300,2,2,3480.0,3519.0,0.07,X 
230420,507315,152493,98216,24.41,25.0,23.97,B 
230420,507410,6353,4507,64.05,63.94,2.89,B 
230420,507435,1661,1661,73.8,72.51,1.23,Z 
230420,507438,1037,556,489.15,484.2,2.72,B 
230420,507442,2473,2473,9.08,9.2,0.22,Z 
230420,507474,11639,11052,45.1,43.12,4.98,X 
230420,507486,340,340,66.46,63.3,0.23,XT
230420,507488,964,571,587.25,590.2,3.35,B 
230420,507490,187440,58955,23.91,24.31,14.1,B 
230420,507498,11911,8761,16.89,17.16,1.48,X 
230420,507508,352,352,5.56,5.78,0.02,Z 
